user_id,book_id,predicted_score,rank
U0237,B0132,2.3014,1
U0237,B0042,1.9287,2
U0237,B0044,1.5998,3
U0237,B0239,1.0832,4
U0237,B0080,1.0125,5
U0237,B0109,1.0125,6
U0237,B0273,1.0125,7
U0237,B0085,1.0078,8
U0237,B0191,0.9588,9
U0237,B0179,0.9473,10
U0301,B0298,3.6016,1
U0301,B0042,3.4999,2
U0301,B0183,2.9282,3
U0301,B0286,2.448,4
U0301,B0010,2.0702,5
U0301,B0132,2.0412,6
U0301,B0246,1.8945,7
U0301,B0265,1.8657,8
U0301,B0268,1.6514,9
U0301,B0280,1.6514,10
U0344,B0200,3.405,1
U0344,B0209,2.7758,2
U0344,B0217,2.7694,3
U0344,B0262,2.5446,4
U0344,B0097,2.2875,5
U0344,B0194,2.1724,6
U0344,B0047,2.1205,7
U0344,B0290,1.4108,8
U0344,B0034,1.3725,9
U0344,B0052,1.3725,10
U0469,B0191,2.126,1
U0469,B0082,1.9642,2
U0469,B0165,1.7542,3
U0469,B0101,1.6026,4
U0469,B0188,1.5783,5
U0469,B0169,1.5228,6
U0469,B0059,1.4676,7
U0469,B0203,1.4621,8
U0469,B0154,1.3375,9
U0469,B0052,1.3207,10
U0376,B0193,2.2111,1
U0376,B0027,1.8632,2
U0376,B0041,1.8287,3
U0376,B0046,1.7372,4
U0376,B0127,1.719,5
U0376,B0094,1.644,6
U0376,B0084,1.6347,7
U0376,B0210,1.5569,8
U0376,B0032,1.37,9
U0376,B0123,1.37,10
U0145,B0059,1.5301,1
U0145,B0086,1.3431,2
U0145,B0192,1.3431,3
U0145,B0023,1.1023,4
U0145,B0173,1.1023,5
U0145,B0175,1.0582,6
U0145,B0236,1.0582,7
U0145,B0299,1.0582,8
U0145,B0209,0.9131,9
U0145,B0153,0.8149,10
U0254,B0094,9.072,1
U0254,B0136,3.7167,2
U0254,B0165,3.2962,3
U0254,B0253,3.1782,4
U0254,B0230,2.8977,5
U0254,B0262,2.8977,6
U0254,B0031,2.8253,7
U0254,B0067,2.4383,8
U0254,B0119,2.306,9
U0254,B0054,2.0602,10
U0179,B0059,1.9059,1
U0179,B0042,1.3295,2
U0179,B0031,1.2403,3
U0179,B0108,1.2403,4
U0179,B0298,1.2403,5
U0179,B0178,1.2038,6
U0179,B0056,1.1989,7
U0179,B0166,1.1079,8
U0179,B0184,1.1079,9
U0179,B0115,0.8992,10
U0427,B0154,4.2343,1
U0427,B0038,4.1966,2
U0427,B0211,3.2837,3
U0427,B0094,3.2684,4
U0427,B0112,2.9988,5
U0427,B0048,2.9463,6
U0427,B0230,2.5849,7
U0427,B0183,2.4666,8
U0427,B0216,2.4666,9
U0427,B0244,2.4666,10
U0006,B0236,5.5951,1
U0006,B0160,3.4983,2
U0006,B0108,3.4262,3
U0006,B0298,3.1845,4
U0006,B0031,2.6958,5
U0006,B0114,2.3044,6
U0006,B0010,2.2116,7
U0006,B0152,2.0782,8
U0006,B0294,2.0063,9
U0006,B0117,1.9615,10
U0215,B0089,6.3928,1
U0215,B0205,4.3096,2
U0215,B0288,3.9712,3
U0215,B0078,3.4665,4
U0215,B0145,2.6933,5
U0215,B0109,2.201,6
U0215,B0161,2.1143,7
U0215,B0085,1.8504,8
U0215,B0096,1.7201,9
U0215,B0117,1.7201,10
U0143,B0040,2.6066,1
U0143,B0160,2.5341,2
U0143,B0163,2.5315,3
U0143,B0169,2.4279,4
U0143,B0005,1.5189,5
U0143,B0253,1.4296,6
U0143,B0186,1.3611,7
U0143,B0015,1.214,8
U0143,B0094,1.214,9
U0143,B0299,1.214,10
U0221,B0130,4.798,1
U0221,B0179,2.0184,2
U0221,B0198,1.3385,3
U0221,B0225,1.3254,4
U0221,B0298,1.0395,5
U0221,B0052,0.9772,6
U0221,B0101,0.9772,7
U0221,B0188,0.9062,8
U0221,B0232,0.8923,9
U0221,B0084,0.7952,10
U0226,B0059,3.6316,1
U0226,B0024,3.4021,2
U0226,B0265,1.837,3
U0226,B0193,1.3608,4
U0226,B0130,1.3056,5
U0226,B0044,1.2912,6
U0226,B0115,1.2815,7
U0226,B0209,1.2815,8
U0226,B0091,1.0681,9
U0226,B0180,1.0681,10
U0198,B0127,1.8065,1
U0198,B0035,1.6329,2
U0198,B0145,1.5887,3
U0198,B0079,1.5626,4
U0198,B0124,1.4482,5
U0198,B0099,1.2733,6
U0198,B0276,1.2733,7
U0198,B0293,1.2733,8
U0198,B0008,1.0663,9
U0198,B0098,1.0271,10
U0002,B0233,7.5497,1
U0002,B0238,3.3378,2
U0002,B0154,3.0651,3
U0002,B0169,2.8793,4
U0002,B0019,2.5849,5
U0002,B0158,2.4,6
U0002,B0062,2.1213,7
U0002,B0236,2.1145,8
U0002,B0142,2.0404,9
U0002,B0132,2.0045,10
U0460,B0096,1.7321,1
U0460,B0111,1.7321,2
U0460,B0055,1.6222,3
U0460,B0079,1.5554,4
U0460,B0193,1.5554,5
U0460,B0210,1.5554,6
U0460,B0128,0.9733,7
U0460,B0127,0.9333,8
U0067,B0161,1.7998,1
U0067,B0160,1.3935,2
U0067,B0215,1.3935,3
U0067,B0153,1.1804,4
U0067,B0099,1.1585,5
U0067,B0232,1.0947,6
U0067,B0089,1.0799,7
U0067,B0156,1.0799,8
U0067,B0159,1.0799,9
U0067,B0168,1.0799,10
U0466,B0130,3.4258,1
U0466,B0068,2.4667,2
U0466,B0229,2.3406,3
U0466,B0042,1.9898,4
U0466,B0065,1.8819,5
U0466,B0087,1.7098,6
U0466,B0092,1.6876,7
U0466,B0188,1.6454,8
U0466,B0179,1.6114,9
U0466,B0253,1.6005,10
U0051,B0276,6.321,1
U0051,B0038,5.6581,2
U0051,B0123,5.3784,3
U0051,B0185,5.0541,4
U0051,B0136,4.7685,5
U0051,B0211,4.4398,6
U0051,B0139,4.2951,7
U0051,B0169,3.6171,8
U0051,B0032,3.6132,9
U0051,B0286,3.5355,10
U0239,B0134,5.0736,1
U0239,B0228,2.8909,2
U0239,B0089,2.7362,3
U0239,B0012,2.2767,4
U0239,B0291,2.2095,5
U0239,B0253,1.7093,6
U0239,B0264,1.4144,7
U0239,B0233,1.3257,8
U0239,B0262,1.3257,9
U0239,B0064,1.2777,10
U0182,B0031,4.7185,1
U0182,B0139,3.3251,2
U0182,B0282,2.8481,3
U0182,B0172,2.5098,4
U0182,B0276,2.4393,5
U0182,B0238,2.2785,6
U0182,B0099,1.6404,7
U0182,B0239,1.6294,8
U0182,B0120,1.424,9
U0182,B0154,1.424,10
U0152,B0130,3.0481,1
U0152,B0134,2.2965,2
U0152,B0042,1.4005,3
U0152,B0044,1.2924,4
U0152,B0239,1.2104,5
U0152,B0166,1.1671,6
U0152,B0184,1.1671,7
U0152,B0236,1.1671,8
U0152,B0212,1.1429,9
U0152,B0298,0.9197,10
U0302,B0131,3.8524,1
U0302,B0056,3.7901,2
U0302,B0277,3.318,3
U0302,B0073,2.5855,4
U0302,B0236,2.5241,5
U0302,B0022,2.3011,6
U0302,B0240,2.3011,7
U0302,B0167,2.1868,8
U0302,B0164,2.0069,9
U0302,B0018,1.8471,10
U0065,B0238,2.0624,1
U0065,B0186,1.6526,2
U0065,B0267,1.4565,3
U0065,B0025,1.4524,4
U0065,B0217,1.2657,5
U0065,B0288,1.2443,6
U0065,B0248,1.1706,7
U0065,B0132,1.0999,8
U0065,B0147,1.0312,9
U0065,B0290,1.0137,10
U0434,B0059,2.7958,1
U0434,B0018,2.1869,2
U0434,B0044,1.7446,3
U0434,B0173,1.3122,4
U0434,B0225,1.2681,5
U0434,B0198,1.2598,6
U0434,B0265,1.2499,7
U0434,B0130,1.2131,8
U0434,B0179,1.1974,9
U0434,B0079,1.1592,10
U0098,B0091,3.3845,1
U0098,B0217,2.6325,2
U0098,B0209,2.0135,3
U0098,B0203,1.9011,4
U0098,B0087,1.8337,5
U0098,B0242,1.7912,6
U0098,B0021,1.6689,7
U0098,B0116,1.6689,8
U0098,B0119,1.6689,9
U0098,B0126,1.6689,10
U0276,B0230,4.0946,1
U0276,B0238,3.7446,2
U0276,B0050,2.6772,3
U0276,B0132,2.1476,4
U0276,B0099,2.1163,5
U0276,B0282,1.9962,6
U0276,B0098,1.8486,7
U0276,B0004,1.5175,8
U0276,B0013,1.5175,9
U0276,B0074,1.5175,10
U0429,B0281,2.0943,1
U0429,B0118,2.0553,2
U0429,B0120,2.0553,3
U0429,B0079,1.9047,4
U0429,B0200,1.4959,5
U0429,B0268,1.4556,6
U0429,B0287,1.4344,7
U0429,B0020,1.2846,8
U0429,B0053,1.2846,9
U0429,B0096,1.2846,10
U0363,B0106,7.3897,1
U0363,B0165,3.7627,2
U0363,B0136,3.6136,3
U0363,B0038,3.5392,4
U0363,B0032,2.9724,5
U0363,B0253,2.6201,6
U0363,B0027,2.4221,7
U0363,B0280,2.4221,8
U0363,B0067,2.3231,9
U0363,B0230,2.2321,10
U0085,B0214,3.794,1
U0085,B0262,3.4311,2
U0085,B0277,3.1254,3
U0085,B0047,3.0121,4
U0085,B0220,2.8294,5
U0085,B0101,2.4974,6
U0085,B0285,2.4012,7
U0085,B0274,2.397,8
U0085,B0064,2.0963,9
U0085,B0104,2.0963,10
U0371,B0286,2.2614,1
U0371,B0130,2.0665,2
U0371,B0042,1.954,3
U0371,B0236,1.898,4
U0371,B0298,1.7703,5
U0371,B0155,1.7154,6
U0371,B0202,1.364,7
U0371,B0165,1.3558,8
U0371,B0088,1.2827,9
U0371,B0271,1.2258,10
U0327,B0186,3.9327,1
U0327,B0077,3.0235,2
U0327,B0085,2.926,3
U0327,B0006,1.7998,4
U0327,B0071,1.7998,5
U0327,B0078,1.6291,6
U0327,B0205,1.5154,7
U0327,B0206,1.1382,8
U0327,B0004,1.0799,9
U0327,B0041,1.0799,10
U0012,B0038,5.2934,1
U0012,B0031,4.041,2
U0012,B0123,2.8948,3
U0012,B0111,2.7303,4
U0012,B0185,2.648,5
U0012,B0106,2.4249,6
U0012,B0172,2.0882,7
U0012,B0165,1.8603,8
U0012,B0032,1.5174,9
U0012,B0236,1.4776,10
U0268,B0104,4.0721,1
U0268,B0228,3.1866,2
U0268,B0064,2.3289,3
U0268,B0186,2.2278,4
U0268,B0007,2.2113,5
U0268,B0078,1.7628,6
U0268,B0262,1.6146,7
U0268,B0240,1.4556,8
U0268,B0291,1.4,9
U0268,B0166,1.3969,10
U0312,B0276,9.2421,1
U0312,B0038,6.4515,2
U0312,B0185,5.0989,3
U0312,B0076,4.278,4
U0312,B0123,4.1576,5
U0312,B0111,3.7968,6
U0312,B0139,3.7354,7
U0312,B0136,3.6862,8
U0312,B0172,3.082,9
U0312,B0169,2.7961,10
U0271,B0173,3.235,1
U0271,B0011,2.5046,2
U0271,B0169,2.1848,3
U0271,B0277,1.8827,4
U0271,B0191,1.881,5
U0271,B0246,1.8258,6
U0271,B0252,1.8258,7
U0271,B0117,1.5564,8
U0271,B0164,1.4159,9
U0271,B0022,1.4091,10
U0249,B0110,1.4606,1
U0249,B0019,1.4005,2
U0249,B0030,1.3976,3
U0249,B0211,1.1085,4
U0249,B0278,1.1062,5
U0249,B0066,0.9938,6
U0249,B0098,0.9859,7
U0249,B0057,0.926,8
U0249,B0238,0.7854,9
U0249,B0245,0.7854,10
U0439,B0281,1.7918,1
U0439,B0095,1.6366,2
U0439,B0278,1.6366,3
U0439,B0082,1.2995,4
U0439,B0019,1.1371,5
U0439,B0081,1.1371,6
U0439,B0140,1.1371,7
U0439,B0294,1.1371,8
U0439,B0069,1.1138,9
U0439,B0089,0.9931,10
U0191,B0014,1.4123,1
U0191,B0146,1.4123,2
U0191,B0217,1.3858,3
U0191,B0033,1.2714,4
U0191,B0098,1.2714,5
U0191,B0145,1.2714,6
U0191,B0207,0.968,7
U0191,B0298,0.9349,8
U0191,B0236,0.846,9
U0191,B0016,0.8315,10
U0270,B0042,3.6911,1
U0270,B0298,2.4316,2
U0270,B0075,2.0001,3
U0270,B0017,1.8214,4
U0270,B0198,1.7997,5
U0270,B0099,1.6752,6
U0270,B0294,1.6325,7
U0270,B0168,1.5536,8
U0270,B0236,1.5074,9
U0270,B0115,1.3254,10
U0298,B0282,1.3379,1
U0298,B0292,1.1743,2
U0298,B0036,1.0851,3
U0298,B0238,1.0703,4
U0298,B0154,1.0383,5
U0298,B0063,0.9047,6
U0298,B0003,0.8551,7
U0298,B0089,0.8551,8
U0298,B0137,0.8551,9
U0298,B0261,0.8551,10
U0259,B0268,1.9745,1
U0259,B0236,1.9381,2
U0259,B0044,1.5862,3
U0259,B0075,1.2113,4
U0259,B0238,1.1518,5
U0259,B0223,1.1259,6
U0259,B0202,1.0895,7
U0259,B0104,1.0172,8
U0259,B0179,0.9914,9
U0259,B0191,0.9159,10
U0139,B0230,5.3384,1
U0139,B0154,3.889,2
U0139,B0238,3.3503,3
U0139,B0099,2.8742,4
U0139,B0004,2.5037,5
U0139,B0013,2.5037,6
U0139,B0074,2.5037,7
U0139,B0211,2.5037,8
U0139,B0132,2.3623,9
U0139,B0179,1.9288,10
U0305,B0246,2.5449,1
U0305,B0039,2.4579,2
U0305,B0032,2.2386,3
U0305,B0173,1.7952,4
U0305,B0010,1.7556,5
U0305,B0144,1.6203,6
U0305,B0167,1.541,7
U0305,B0202,1.3809,8
U0305,B0230,1.3809,9
U0305,B0240,1.3002,10
U0339,B0286,5.0341,1
U0339,B0059,4.4253,2
U0339,B0042,3.6826,3
U0339,B0252,3.1497,4
U0339,B0298,2.3035,5
U0339,B0039,2.0773,6
U0339,B0202,2.0358,7
U0339,B0114,1.9864,8
U0339,B0271,1.7807,9
U0339,B0037,1.7805,10
U0069,B0004,2.6003,1
U0069,B0226,1.7631,2
U0069,B0078,1.6703,3
U0069,B0168,1.6211,4
U0069,B0091,1.2822,5
U0069,B0188,1.2822,6
U0069,B0217,1.2699,7
U0069,B0066,1.1589,8
U0069,B0030,1.1243,9
U0069,B0080,1.0784,10
U0481,B0120,2.2802,1
U0481,B0186,2.1939,2
U0481,B0096,1.9794,3
U0481,B0053,1.9315,4
U0481,B0203,1.6659,5
U0481,B0267,1.4681,6
U0481,B0008,1.4251,7
U0481,B0020,1.4251,8
U0481,B0181,1.4251,9
U0481,B0213,1.4251,10
U0497,B0057,1.6396,1
U0497,B0185,1.5803,2
U0497,B0205,1.2111,3
U0497,B0034,1.1409,4
U0497,B0264,1.1409,5
U0497,B0145,1.0633,6
U0497,B0169,1.0409,7
U0497,B0117,0.9938,8
U0497,B0050,0.9838,9
U0497,B0253,0.8628,10
U0121,B0038,6.8672,1
U0121,B0211,4.5626,2
U0121,B0076,3.9052,3
U0121,B0142,3.5244,4
U0121,B0165,3.4013,5
U0121,B0136,3.363,6
U0121,B0032,2.9687,7
U0121,B0247,2.9368,8
U0121,B0205,2.8828,9
U0121,B0015,2.2494,10
U0372,B0218,2.4408,1
U0372,B0283,2.0117,2
U0372,B0091,1.8165,3
U0372,B0188,1.8165,4
U0372,B0014,1.7206,5
U0372,B0137,1.6995,6
U0372,B0168,1.6272,7
U0372,B0287,1.561,8
U0372,B0104,1.3402,9
U0372,B0297,1.2647,10
U0314,B0277,3.4453,1
U0314,B0197,3.2887,2
U0314,B0173,2.101,3
U0314,B0167,2.0176,4
U0314,B0240,1.7302,5
U0314,B0298,1.568,6
U0314,B0087,1.4146,7
U0314,B0250,1.4146,8
U0314,B0246,1.2971,9
U0314,B0252,1.2971,10
U0489,B0200,2.6427,1
U0489,B0188,2.0938,2
U0489,B0184,1.7853,3
U0489,B0168,1.7641,4
U0489,B0226,1.6716,5
U0489,B0207,1.2449,6
U0489,B0091,1.0384,7
U0489,B0137,1.0384,8
U0489,B0267,1.0384,9
U0489,B0202,1.0156,10
U0401,B0290,2.9035,1
U0401,B0261,2.8942,2
U0401,B0144,2.5092,3
U0401,B0044,2.4857,4
U0401,B0027,1.9062,5
U0401,B0037,1.8396,6
U0401,B0179,1.5536,7
U0401,B0088,1.4498,8
U0401,B0252,1.4326,9
U0401,B0069,1.4303,10
U0303,B0169,3.4893,1
U0303,B0263,2.9031,2
U0303,B0290,2.5752,3
U0303,B0002,2.3243,4
U0303,B0094,1.9753,5
U0303,B0188,1.6714,6
U0303,B0106,1.5036,7
U0303,B0144,1.454,8
U0303,B0260,1.4171,9
U0303,B0069,1.2686,10
U0256,B0038,2.0161,1
U0256,B0031,1.8826,2
U0256,B0140,1.7733,3
U0256,B0186,1.6571,4
U0256,B0276,1.6227,5
U0256,B0089,1.4443,6
U0256,B0077,1.274,7
U0256,B0161,1.1301,8
U0256,B0185,1.1276,9
U0256,B0279,1.0499,10
U0128,B0136,5.4287,1
U0128,B0019,4.4457,2
U0128,B0031,3.8683,3
U0128,B0169,3.5989,4
U0128,B0076,2.7108,5
U0128,B0009,2.0586,6
U0128,B0211,1.8422,7
U0128,B0247,1.7571,8
U0128,B0002,1.7568,9
U0128,B0027,1.7568,10
U0353,B0228,4.3468,1
U0353,B0212,3.7259,2
U0353,B0147,2.5093,3
U0353,B0004,2.3501,4
U0353,B0254,2.2095,5
U0353,B0089,2.0907,6
U0353,B0064,2.0378,7
U0353,B0230,2.0258,8
U0353,B0285,1.4401,9
U0353,B0146,1.4,10
U0113,B0173,2.4795,1
U0113,B0236,1.8647,2
U0113,B0088,1.8434,3
U0113,B0073,1.4589,4
U0113,B0197,1.4157,5
U0113,B0225,1.1545,6
U0113,B0155,1.1414,7
U0113,B0298,1.1274,8
U0113,B0037,1.106,9
U0113,B0065,1.106,10
U0110,B0124,1.6044,1
U0110,B0236,1.2988,2
U0110,B0069,1.1491,3
U0110,B0095,1.0342,4
U0110,B0089,0.955,5
U0110,B0168,0.9122,6
U0110,B0231,0.9023,7
U0110,B0257,0.8408,8
U0110,B0285,0.8408,9
U0110,B0188,0.8408,10
U0461,B0289,4.0059,1
U0461,B0004,2.9486,2
U0461,B0078,2.4113,3
U0461,B0262,2.2251,4
U0461,B0209,2.0963,5
U0461,B0134,1.7968,6
U0461,B0220,1.6598,7
U0461,B0285,1.6578,8
U0461,B0011,1.2209,9
U0461,B0274,1.123,10
U0423,B0270,3.5701,1
U0423,B0179,3.5259,2
U0423,B0173,2.7273,3
U0423,B0298,2.6198,4
U0423,B0024,2.2727,5
U0423,B0140,2.2727,6
U0423,B0132,2.1623,7
U0423,B0010,1.3636,8
U0423,B0108,1.3636,9
U0423,B0088,1.2974,10
U0154,B0136,6.2253,1
U0154,B0247,3.7904,2
U0154,B0282,3.727,3
U0154,B0038,2.8747,4
U0154,B0185,2.7426,5
U0154,B0094,2.3663,6
U0154,B0154,2.0754,7
U0154,B0238,1.997,8
U0154,B0123,1.9549,9
U0154,B0031,1.859,10
U0475,B0136,3.7671,1
U0475,B0056,3.337,2
U0475,B0039,2.9806,3
U0475,B0009,2.7982,4
U0475,B0144,2.4641,5
U0475,B0010,2.129,6
U0475,B0123,1.9549,7
U0475,B0031,1.859,8
U0475,B0038,1.6647,9
U0475,B0239,1.4852,10
U0176,B0249,1.7955,1
U0176,B0242,1.7702,2
U0176,B0287,1.6368,3
U0176,B0057,1.4815,4
U0176,B0209,1.421,5
U0176,B0267,1.3994,6
U0176,B0283,1.3994,7
U0176,B0299,1.3454,8
U0176,B0226,1.3007,9
U0176,B0116,1.2612,10
U0452,B0261,0.8346,1
U0452,B0157,0.5008,2
U0359,B0277,1.9912,1
U0359,B0188,1.9605,2
U0359,B0237,1.5825,3
U0359,B0179,1.4393,4
U0359,B0259,1.436,5
U0359,B0242,1.3574,6
U0359,B0290,1.3543,7
U0359,B0168,1.3226,8
U0359,B0233,1.315,9
U0359,B0037,1.2909,10
U0487,B0236,1.1847,1
U0487,B0159,0.7297,2
U0487,B0124,0.6396,3
U0487,B0043,0.4739,4
U0487,B0073,0.4739,5
U0487,B0120,0.4739,6
U0487,B0183,0.4739,7
U0487,B0231,0.4739,8
U0487,B0265,0.4739,9
U0487,B0033,0.3838,10
U0337,B0191,7.8769,1
U0337,B0262,2.9468,2
U0337,B0214,2.7671,3
U0337,B0047,2.3826,4
U0337,B0062,2.3499,5
U0337,B0064,2.0402,6
U0337,B0220,1.8531,7
U0337,B0285,1.8406,8
U0337,B0036,1.738,9
